Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
150,73.2798,73.4357,0.0114231,0.0121577

Training Complete!!! - > Elapsed Epochs: 150 Validation Set Accuracy: 73.45 Validation Set MSE: 0.0120261
0,72.8862,73.3357,0.0117464,0.0124024
5,71.9471,72.3714,0.0124096,0.0129752
10,71.5185,70.7143,0.01247,0.0131345
15,70.0847,68.5214,0.0131051,0.0135664
20,70.7831,70.7857,0.0128312,0.0128781
25,71.8545,71.9786,0.0120538,0.0124423
30,71.7487,70.7357,0.0122415,0.0128667
35,72.5608,73.2786,0.0118638,0.012023
40,72.8968,73.1714,0.0118424,0.0122042
45,75.8413,75.55,0.0109226,0.0115464
50,74.836,73.4429,0.0111994,0.0123584
55,76.5079,76.5071,0.0107898,0.0113549
60,75.836,75.5571,0.0108907,0.0115302
65,73.7593,73.9857,0.0113096,0.0119459
70,73.1402,73.3071,0.0115105,0.0121501
75,74.4894,74.3929,0.011222,0.0118058
80,73.8042,73.9,0.011422,0.0119783
85,72.5344,71.9429,0.0120193,0.0125884
90,69.8439,72.7571,0.013369,0.0129013
95,72.7116,72.7,0.0118869,0.0123169
100,74.6852,75.1357,0.0111786,0.0120251
105,71.9974,71.9214,0.0118039,0.0124606
110,75.209,75.2929,0.0108554,0.0115543
115,71.8042,71.2929,0.011212,0.0117627
120,73.9683,73.5357,0.0110935,0.0114985
125,73.1825,72.4571,0.0112997,0.0119353
130,75.3307,74.75,0.0108364,0.0116211
135,73.746,73.6214,0.0113425,0.0119767
140,75.2407,74.8786,0.0107531,0.0114501
145,75.4656,74.55,0.01082,0.0113354
150,70.1746,69.5857,0.0118153,0.0123346

Training Complete!!! - > Elapsed Epochs: 150 Validation Set Accuracy: 70.4571 Validation Set MSE: 0.0122758
0,71.6738,70.8929,0.0115339,0.0121773
5,73.75,72.6143,0.0117223,0.0124247
10,74.531,73.4071,0.0109363,0.0116691
15,75.4833,74.1929,0.0109478,0.011763
20,74.0381,73.1857,0.0108856,0.0116594
25,71.2548,71.2429,0.012257,0.0128147
30,74.2524,72.95,0.0111069,0.0119845
35,74.65,71.0643,0.0109715,0.012108
40,74.25,73.8429,0.0113326,0.0117751
45,74.4357,73.6857,0.0109714,0.0116115
50,74.4952,73.5929,0.0109569,0.011896
55,74.2214,73.4786,0.0112743,0.0118997
60,75.0071,74.3071,0.0109473,0.0113588
65,75.481,73.5714,0.0106868,0.0114065
70,74.3762,72.7214,0.010881,0.0114243
75,74.3048,73.6214,0.0106587,0.0117504
80,74.6857,74.3786,0.0106828,0.0112378
85,75.2024,74.9286,0.010652,0.0112235
90,73.8214,72.3857,0.011026,0.0124184
95,71.0714,71.2643,0.0124863,0.0132765
100,73.9762,74.7857,0.0119163,0.0122903
105,69.7381,69.6071,0.0126559,0.0130826
110,74.0405,73.4,0.0117416,0.0124037
115,73.6738,73.2286,0.0119393,0.0120196
120,69.7976,69.4643,0.0118439,0.012259
125,73.5,70.75,0.0110803,0.0122725
130,75.0357,72.9929,0.0109139,0.0119812
135,73.6762,72.8071,0.0109163,0.0116948
140,75.25,73.6357,0.010664,0.0114793
145,74.4524,73.8571,0.0108278,0.0112453
150,74.2905,73.6857,0.0109907,0.0113176

Training Complete!!! - > Elapsed Epochs: 150 Validation Set Accuracy: 73.95 Validation Set MSE: 0.0114569
